,diet,lat,lon,nz,site
000001001.1053931,Omnivore,42.6,-71.5,481,UBERON:feces
000001002.1076104,Omnivore,42.5,-71.6,181,UBERON:feces
000001004.1076113,Omnivore,42.3,-71.9,296,UBERON:feces
000001008.1075990,Omnivore but no red meat,42.8,-71.0,139,UBERON:feces
000001011.1210950,Omnivore,no_data,no_data,398,UBERON:feces
000001018.1075878,Omnivore,42.4,-71.1,91,UBERON:feces
000001020.1262078,Omnivore,42.4,-71.1,834,UBERON:feces
000001022.1130548,Omnivore,42.4,-71.1,565,UBERON:feces
000001025.1213131,Omnivore,42.3,-71.1,267,UBERON:feces
000001026.1076452,Vegetarian but eat seafood,42.4,-71.2,620,UBERON:feces
000001028.1213128,Omnivore but no red meat,42.4,-71.2,512,UBERON:feces
000001030.1257529,Omnivore,41.4,-70.5,1,UBERON:feces
000001030.1261848,Omnivore,no_data,no_data,488,UBERON:feces
000001031.1075810,Omnivore,41.6,-70.3,282,UBERON:feces
000001032.1075935,Omnivore,41.8,-71.2,431,UBERON:feces
000001038.1075956,Omnivore,43.7,-70.3,699,UBERON:feces
000001042.1076459,Omnivore,47.3,-68.3,509,UBERON:feces
000001044.fixed904,Omnivore,44.0,-73.2,298,UBERON:feces
000001046.1075758,Omnivore,44.6,-72.8,328,UBERON:feces
000001047.1076131,Omnivore,41.8,-72.6,435,UBERON:feces
000001048.1075900,Omnivore but no red meat,42.0,-73.4,433,UBERON:feces
000001049.1075984,Omnivore but no red meat,41.9,-72.8,627,UBERON:feces
000001056.1075927,Omnivore,41.0,-74.3,352,UBERON:feces
000001058.1076043,Omnivore,39.7,-74.3,231,UBERON:feces
000001059.1075968,Omnivore,39.9,-75.1,404,UBERON:feces
000001060.1076121,Omnivore,39.3,-74.8,314,UBERON:feces
000001061.fixed954,Omnivore,40.4,-74.8,2,UBERON:feces
000001062.1131940,Omnivore,40.5,-74.4,175,UBERON:feces
000001065.1075851,Omnivore,40.6,-74.9,293,UBERON:feces
000001067.1075811,Vegetarian,40.7,-74.0,120,UBERON:feces
000001069.1130076,Omnivore,40.7,-74.0,446,UBERON:feces
000001072.1076364,Omnivore,40.7,-74.0,519,UBERON:feces
000001073.1076273,Omnivore,40.8,-74.0,352,UBERON:feces
000001077.1075876,no_data,40.9,-73.9,351,UBERON:feces
000001078.1075961,Omnivore but no red meat,40.9,-73.9,234,UBERON:feces
000001079.1131588,Omnivore but no red meat,40.8,-74.0,271,UBERON:feces
000001084.1076216,Omnivore,41.0,-73.8,198,UBERON:feces
000001086.1076130,Omnivore,41.0,-73.9,129,UBERON:feces
000001089.1075745,Omnivore,40.7,-74.0,447,UBERON:feces
000001097.1075899,Omnivore but no red meat,40.8,-73.8,420,UBERON:feces
000001098.1076016,Omnivore,40.8,-73.3,438,UBERON:feces
000001099.1076045,Omnivore,42.4,-73.7,776,UBERON:feces
000001100.1075827,Omnivore,42.1,-73.7,350,UBERON:feces
000001109.1075852,no_data,43.1,-77.5,482,UBERON:feces
000001110.1076116,Omnivore,42.8,-77.8,115,UBERON:feces
000001111.1076323,Omnivore,43.0,-77.6,458,UBERON:feces
000001114.1130033,Omnivore,43.1,-77.6,10,UBERON:feces
000001115.1076083,Omnivore,42.4,-77.2,458,UBERON:feces
000001116.1075711,Omnivore,40.6,-80.3,372,UBERON:feces
000001118.1075966,Vegan,40.6,-80.0,390,UBERON:feces
000001120.1130527,Omnivore,40.5,-79.9,273,UBERON:feces
000001121.1075814,Omnivore,40.5,-79.9,519,UBERON:feces
000001125.1130088,Vegetarian but eat seafood,40.3,-79.0,1,UBERON:feces
000001126.1075986,Omnivore but no red meat,40.2,-77.2,314,UBERON:feces
000001127.1131821,Omnivore,40.3,-76.6,187,UBERON:feces
000001128.1075750,no_data,40.7,-75.4,305,UBERON:feces
000001130.1076092,no_data,40.7,-75.5,207,UBERON:feces
000001135.1076119,Omnivore,40.0,-75.2,82,UBERON:feces
000001138.1076057,Omnivore,40.1,-75.2,86,UBERON:feces
